title,year,km,currency,price,location,link,ratio,model,type
Bmw Serie M 3.0 M4 560cv,2018,1000,U$S,125000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-915137745-bmw-serie-m-30-m4-560cv-2018-_JM#position=20&search_layout=grid&type=item&tracking_id=a6d33447-86f7-4808-901e-50358937623f,"16144,00",,
Bmw Serie 1 M 135i Xdrive,2021,1111,U$S,551,Castelar - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-920539194-bmw-serie-1-m-135i-xdrive-2021-car-cash-_JM#position=19&search_layout=grid&type=item&tracking_id=4238591b-075d-43a4-9bd1-23b4a8c6381c,"3301,42",135,i
Bmw Serie 3 2.0 328i Sedán Sport 245cv,2013,88000,U$S,25000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-916957466-bmw-328-_JM#position=9&search_layout=grid&type=item&tracking_id=7103d3c5-4c94-43db-9a98-9b5ddb19e84b,"915,00",328,i
Bmw Serie 3 2.0 320i Sedan 184cv,2013,110000,U$S,20000,Luján de Cuyo - Mendoza,https://auto.mercadolibre.com.ar/MLA-909863053-bmw-serie-3-320-i-8at-2013-_JM#position=29&search_layout=grid&type=item&tracking_id=e8dc6f13-bc48-47fa-823f-600e0520df0e,"915,00",320,i
Bmw Serie 6 4.4 645 Ci Coupe Premium,2004,100000,U$S,30000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-844668132-bmw-coupe-645-ci-ano-2004-_JM#position=31&search_layout=grid&type=item&tracking_id=e2282057-8367-416f-b289-b0fda0566144,"668,00",,
Bmw Serie 1 1.5 118i Sport Line 136cv,2021,100,U$S,49500,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-919752779-bmw-118i-sport-line-2021-_JM#position=26&search_layout=grid&type=item&tracking_id=ea20ac11-1fd8-4659-96ad-a4eed4f81135,"408,28",118,i
Bmw Serie 3 Bmw 320 6 Cilindros,1981,1000,U$S,15000,Mendoza - Mendoza,https://auto.mercadolibre.com.ar/MLA-917320469-bmw-serie-3-bmw-320-6-cilindros-_JM#position=5&search_layout=grid&type=item&tracking_id=fb8742ea-fdfa-4447-b6b8-63e728ce897e,"132,07",,
Bmw Isetta 300 Isetta,1958,1111,U$S,14999,Malvinas Argentinas - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-917703379-bmw-isetta-300-isetta-_JM#position=9&search_layout=grid&type=item&tracking_id=588cfcd6-e721-471f-982b-d86e5dbdacf6,"117,50",,
Bmw X1 2.0 Sdrive20i Sport Line Dct Nafta Automático,2021,12145,U$S,3225,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-917689785-bmw-x1-20-sdrive20i-sport-line-dct-nafta-automatico-_JM#position=42&search_layout=grid&type=item&tracking_id=3648eec4-7375-4ed0-ab83-8d61fdd78032,"51,60",,
Bmw Serie 2 218i Gran Coupe Advantage,2021,1000,U$S,43900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920044704-bmw-218i-gran-coupe-advantage-2021-0-km-unidad-fisica-_JM#position=30&search_layout=grid&type=item&tracking_id=0bc28108-d04c-4f57-b68f-c1564036a831,"46,04",218,i
Bmw Serie 2 218 Grand Coupe 5 Pt,2021,1111,U$S,40645,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-918344493-bmw-serie-2-bmw-218-2020-0-km-_JM#position=21&search_layout=grid&type=item&tracking_id=21213f76-38ed-451e-8523-06fee6ba6f3a,"44,76",,
Bmw Serie 2 2.0 220i Sport Lci 184cv Coupé,2020,1000,U$S,48000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921107537-bmw-serie-2-2020-20-220i-sport-lci-184cv-coupe-_JM#position=40&search_layout=grid&type=item&tracking_id=e4cd9b26-c1c3-4b2b-a654-4787aa067e11,"42,08",220,i
Bmw Serie 2 2.0 220i Sport Lci 184cv Coupé,2021,1000,U$S,48900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920045586-bmw-220i-sport-coupe-2021-blanco-solido-unidad-fisica-_JM#position=14&search_layout=grid&type=item&tracking_id=a6f453cd-dd26-4b8c-870b-35f919415720,"41,33",220,i
Bmw Serie 3 2.0 320i Sedan Sportline,2021,1000,U$S,49900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920047693-bmw-320i-at-2020-0-kms-_JM#position=38&search_layout=grid&type=item&tracking_id=162cb925-6f36-4bac-a5bf-71f7530dc408,"40,50",320,i
Bmw Serie 2 2.0 M240i Mpackage Lci Coupã©,2021,1000,U$S,50967,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921393728-bmw-serie-2-20-m240i-mpackage-lci-coupe-anticipo-y-cuotas-_JM#position=33&search_layout=grid&type=item&tracking_id=9c8842f6-cf59-490f-a5e3-70b737e40dae,"39,65",240,i
Bmw Serie 1 1.5 118i Sport Line 136cv,2021,1100,U$S,50000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-915515282-bmw-serie-1-15-118i-sport-line-136cv-_JM#position=22&search_layout=grid&type=item&tracking_id=a6d33447-86f7-4808-901e-50358937623f,"36,75",118,i
Bmw Serie 2 218 Grand Cupe Sport,2021,1111,U$S,49999,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921592541-bmw-serie-2-218-grand-cupe-sport-_JM#position=22&search_layout=grid&type=item&tracking_id=0bc28108-d04c-4f57-b68f-c1564036a831,"36,38",,
Bmw Serie 2 Gran Coupe,2021,1300,U$S,45096,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-918321534-bmw-218-gran-coupe-_JM#position=45&search_layout=grid&type=item&tracking_id=588cfcd6-e721-471f-982b-d86e5dbdacf6,"34,47",,
Bmw Serie 1 2.0 M140 Package,2019,1300,U$S,53000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-911014008-bmw-m140-30t-340-hp-at-2019-1300-km-_JM#position=30&search_layout=grid&type=item&tracking_id=8a231528-a52f-4508-a2c2-753cf2074b02,"29,30",,
Bmw Serie M 140,2019,1300,U$S,53000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-911042223-bmw-m140-30t-340-hp-at-2019-1300-km-_JM#position=18&search_layout=grid&type=item&tracking_id=0bc28108-d04c-4f57-b68f-c1564036a831,"29,30",,
Bmw Serie 1 M 140 - A/t - 340 Hp,2019,1300,U$S,53000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-911013167-bmw-m140-30t-340-hp-at-2019-1300-km-_JM#position=19&search_layout=grid&type=item&tracking_id=0bc28108-d04c-4f57-b68f-c1564036a831,"29,30",,
Bmw X1 2.0 Sdrive 20i Sportline,2020,1000,U$S,69900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-878655197-bmw-x1-20-sdrive-20i-sportline-bremen-_JM#position=4&search_layout=grid&type=item&tracking_id=162cb925-6f36-4bac-a5bf-71f7530dc408,"28,90",,
Bmw X3 2.0 30i,2021,1000,U$S,70000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-915048940-bmw-x3-30i-g01-advantage-xdrive-252-cv-no-glc-q5-q2-x1-gla-_JM#position=1&search_layout=grid&type=item&tracking_id=e270f5a3-fc7b-498e-86e7-7c0b95d83e87,"28,87",,
Bmw Serie 1 M 135i Xdrive,2021,1000,U$S,78200,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-917656386-bmw-m-135-xdrive-306-cv-_JM#position=20&search_layout=grid&type=item&tracking_id=71056db2-c4a2-450a-bc98-7ecd0fd27254,"25,84",135,i
Bmw Serie 3 2.0 320i Sedan Sportline,2021,1400,U$S,56774,Santiago del Estero - Santiago del Estero,https://auto.mercadolibre.com.ar/MLA-918474323-bmw-320i-2021-_JM#position=38&search_layout=grid&type=item&tracking_id=21213f76-38ed-451e-8523-06fee6ba6f3a,"25,43",320,i
Bmw Serie 4 3.0 440i M Package 326cv,2018,1000,U$S,79900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921531033-bmw-440i-cabrio-2018-300-kms-_JM#position=12&search_layout=grid&type=item&tracking_id=e4cd9b26-c1c3-4b2b-a654-4787aa067e11,"25,26",440,i
Bmw Serie 1 135i M,2021,1000,U$S,85500,Castelar - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-921471693-bmw-serie-1-m-135i-xdrive-0km-car-cash-_JM#position=43&search_layout=grid&type=item&tracking_id=4c7d1cd4-42b3-4cc2-95c5-2d8ecca0f372,"23,64",135,i
Bmw Serie 1 2.0 M140 Package,2021,1000,U$S,85500,Castelar - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-920318088-bmw-serie-1-m-135i-xdrive-0km-car-cash-_JM#position=48&search_layout=grid&type=item&tracking_id=4238591b-075d-43a4-9bd1-23b4a8c6381c,"23,64",,
Bmw Serie 1 M 135i Xdrive,2021,1000,U$S,85501,Castelar - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-920341624-bmw-serie-1-m135i-xdrive-car-cash-argentina-_JM#position=13&search_layout=grid&type=item&tracking_id=2c8c8474-7179-468d-9936-43e7ecf05376,"23,64",135,i
