title,year,km,currency,price,location,link,ratio,brand,model
Citroën C4 Lounge 2.0 Tendance Pack Am16,2015,81000,U$S,7514,Jardin Claret - Córdoba,https://auto.mercadolibre.com.ar/MLA-925399783-citroen-c4-lounge-tendance-pack-20-_JM#position=1&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,3.3106924687086163,Citroën,C4
Mercedes-benz Clase C 2.0 C250 Avantgarde 211cv At,2016,89000,U$S,28843,Centro - Villa María,https://auto.mercadolibre.com.ar/MLA-925275305-mercedes-benz-c250-avantgarde-211cv-at-_JM#position=2&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,0.7853442912754716,Mercedes-benz,Clase
Honda Civic 2.0 Ex-l 2017,2017,45000,U$S,19500,Unión,https://auto.mercadolibre.com.ar/MLA-927050974-honda-civic-2017-20-ex-l-2017-_JM#position=3&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.2985754985754987,Honda,Civic
Volkswagen Bora 1.8 Highline T 180cv Cuero,2010,94800,U$S,7225,Río Cuarto,https://auto.mercadolibre.com.ar/MLA-926109520-volkswagen-bora-18-highline-t-180cv-cuero-2010-_JM#position=4&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.9346064561342033,Volkswagen,Bora
Volkswagen Vento 2.0 Sportline Tsi 200cv,2011,120000,U$S,10693,San Francisco,https://auto.mercadolibre.com.ar/MLA-925312438-volkswagen-vento-20-sportline-tsi-200cv-2011-_JM#position=5&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,1.5672246641104775,Volkswagen,Vento
Toyota Corolla 1.8 Se-g Mt 140cv,2014,76953,U$S,10809,Cruz del Eje,https://auto.mercadolibre.com.ar/MLA-923811630-toyota-corolla-2014-18-se-g-mt-140cv-_JM#position=6&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.421298840072703,Toyota,Corolla
Peugeot 408 1.6 Allure Hdi 115cv,2014,140000,U$S,6560,La France - Córdoba,https://auto.mercadolibre.com.ar/MLA-923628602-autos-y-camionetaspeugeot408201416-allure-hdi-115cv-_JM#position=7&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.19294425087108,Peugeot,408
Honda Civic 1.8 Lxs Mt 140cv,2012,88500,U$S,7803,Centro Oeste - Villa Carlos Paz,https://auto.mercadolibre.com.ar/MLA-923408830-honda-civic-lxs-2012-_JM#position=8&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.9135541813195127,Honda,Civic
Volkswagen Bora 1.9 Trendline I 100cv,2011,152000,U$S,5086,Córdoba,https://auto.mercadolibre.com.ar/MLA-922586992-volkswagen-bora-19-trendline-i-100cv-2011-_JM#position=9&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.601310097895151,Volkswagen,Bora
Toyota Corolla 1.8 Xei Mt 136cv,2014,65000,U$S,7341,Córdoba,https://auto.mercadolibre.com.ar/MLA-922461804-toyota-corolla-18-xei-mt-136cv-2014-_JM#position=10&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,4.220762210136955,Toyota,Corolla
Toyota Corolla 1.8 Xei Cvt Pack 140cv,2014,104000,U$S,9537,Córdoba,https://auto.mercadolibre.com.ar/MLA-921626745-toyota-corolla-18-xei-cvt-pack-140cv-2014-_JM#position=11&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.0305530686153523,Toyota,Corolla
