title,year,km,currency,price,location,link,ratio
Ford Fiesta Kinetic Design 1.6 Titanium Powershift 120cv,2014,120000,U$S,8387,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-916008512-ford-fiesta-kd-16-titanium-at-2014-imolaautos-_JM#position=1&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,2.001112833353205
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2011,86200,U$S,6064,Berazategui - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-917458802-ford-fiesta-kinetic-design-16-design-120cv-titanium-2011-_JM#position=2&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,3.8472075127487773
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2012,89000,U$S,6322,Berazategui - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-921877130-ford-fiesta-kinetic-titanium-2012-_JM#position=3&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,3.575884462675373
Ford Fiesta Kinetic Design 1.6 Se 120cv,2014,96000,U$S,5929,Moreno - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-906017784-ford-fiesta-kinetic-16-se-5-ptas-ano-2014-_JM#position=4&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,3.5383988306066225
Ford Fiesta Kinetic Design 1.6 Sedan S Plus 120cv,2014,88000,U$S,6387,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-920318534-ford-fiesta-16-s-plus-ano-2014-liv-motors-_JM#position=5&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,3.5832728411403845
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2011,78000,U$S,5806,Caseros - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-918397900-ford-fiesta-kinetic-design-16-design-120cv-titanium-2011-_JM#position=6&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,4.440587544273387
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2013,161000,U$S,6061,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-919736862-ford-fiesta-kinetic-design-titanium-2013-gris-manual-_JM#position=7&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,2.062878335268456
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2014,50300,U$S,8064,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920142531-ford-fiesta-kinetic-design-16-design-120cv-titanium-2014-_JM#position=8&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,4.965248193379407
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2012,90000,U$S,5870,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-917807103-ford-fiesta-_JM#position=9&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,3.808442173007761
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2011,72500,U$S,6419,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-918760262-ford-fiesta-kinetic-design-16-design-120cv-titanium-2011-_JM#position=10&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,4.321223093080349
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2011,118560,U$S,6451,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-911458289-ford-fiesta-kinectic-titanium-_JM#position=11&search_layout=grid&type=item&tracking_id=d2ffb302-9d07-478e-ab8d-6113ffc9e285,2.6293405430870855
