title,year,km,currency,price,location,link,ratio
Ford Fiesta Kinetic Design 1.6 S 120cv,2017,18800,U$S,8838,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-917714559-ford-fiesta-kinetic-design-16-s-120cv-con-strong-proteccion-_JM#position=1&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,12.13931138748056
Ford Fiesta Kinetic Design 1.6 Titanium 120cv,2016,93500,U$S,8645,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-915626734-ford-fiesta-_JM#position=2&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,2.4941003269176645
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2011,78000,U$S,5806,Caseros - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-918397900-ford-fiesta-kinetic-design-16-design-120cv-titanium-2011-_JM#position=3&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,4.440587544273387
Ford Fiesta Kinetic Design 1.6 Titanium 120cv,2015,56000,U$S,8387,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-921678482-ford-fiesta-_JM#position=4&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,4.290228074060195
Ford Ecosport 1.6 Se 110cv 4x2,2013,80000,U$S,7096,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-917011188-ford-ecosport-kinetic-16-se-2013-_JM#position=5&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,3.546011837655017
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2014,50300,U$S,8064,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920142531-ford-fiesta-kinetic-design-16-design-120cv-titanium-2014-_JM#position=6&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,4.965248193379407
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2012,90000,U$S,5870,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-917807103-ford-fiesta-_JM#position=7&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,3.808442173007761
Ford Fiesta Kinetic Design 1.6 Se Plus Powershift 120cv,2016,80300,U$S,8193,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-919824075-ford-fiesta-kinetic-design-16-se-plus-powershift-120cv-2016-_JM#position=8&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,3.064305266820277
Ford Fiesta Kinetic Design 1.6 Se Powershift 120cv,2017,54000,U$S,8709,Almirante Brown - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-918226271-ford-fiesta-kinetic-design-16-se-powershift-120cv-2017-_JM#position=9&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,4.288879532879992
Ford Fiesta Kinetic Design 1.6 Se 120cv,2015,69000,U$S,6509,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-916989944-ford-fiesta-16-se-120cv-_JM#position=10&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,4.486541488819271
