title,year,km,currency,price,location,link,ratio
Chevrolet Sonic 1.6 Lt,2013,118000,U$S,5419,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-917274391-chevrolet-sonic-16-lt-mt-2013-_JM#position=1&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.1480572123820454
Chevrolet Sonic 1.6 Ltz Mt Mx,2015,51700,U$S,6967,Almirante Brown - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-919066266-chevrolet-sonic-16-ltz-mt-mx-2015-_JM#position=2&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,5.594209119032832
Chevrolet Sonic 1.6 Ltz 5 P,2013,100120,U$S,4838,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920009752-chevrolet-sonic-ltz-_JM#position=3&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,4.155823264253215
Chevrolet Sonic 1.6 Ltz Mt,2013,75000,U$S,7676,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-908116237-chevrolet-sonic-2013-ltz-_JM#position=4&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.4966128191766543
Chevrolet Sonic 1.6 Ltz 5 P,2016,63245,U$S,8322,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-918062597-chevrolet-sonic-ltz-_JM#position=5&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.8303337696987882
Chevrolet Sonic 1.6 Ltz Mt Mx,2016,63200,U$S,8322,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-915271993-chevrolet-sonic-16-ltz-mt-mx-_JM#position=6&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.8330610643132887
Chevrolet Sonic 1.6 Lt,2013,83000,U$S,5664,Almirante Brown - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-920841760-chevrolet-sonic-lt-sedan-4-ptas-16-255-_JM#position=7&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,4.2819583418419445
Chevrolet Sonic 1.6 Ltz Mt,2014,126000,U$S,6193,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-919431683-chevrolet-sonic-ltz-_JM#position=8&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,2.58099902860116
Chevrolet Sonic 1.6 Lt Mx 5 P,2014,76000,U$S,6000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-915614508-chevrolet-sonic-16-lt-mx-5-p-2014-_JM#position=9&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,4.416666666666667
Chevrolet Sonic 1.6 Ltz 4 P,2013,123000,U$S,5354,Santa Fe capital - Santa Fe,https://auto.mercadolibre.com.ar/MLA-916451175-chevrolet-sonic-_JM#position=10&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.0567526444782565
Chevrolet Sonic 1.6 Lt,2013,85000,U$S,5612,Almirante Brown - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-921071097-chevrolet-sonic-16-lt-2013-_JM#position=11&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,4.219948849104859
Chevrolet Sonic Sonic Ltz  4 Ptas.,2016,62000,U$S,7677,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-918280198-chevrolet-sonic-ltz-4-ptas-2016-_JM#position=12&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,4.235525469878606
Chevrolet Sonic 1.6 Ltz 5 P Manual,2012,89000,U$S,5483,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921886530-chevrolet-sonic-2012-16-ltz-5-p-manual-_JM#position=13&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,4.123060655304342
Chevrolet Sonic 1.6 Lt,2013,134000,U$S,5225,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921351123-chevrolet-sonic-16-lt-2013-_JM#position=14&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,2.875098193244305
Chevrolet Sonic 1.6 Lt,2012,93000,U$S,5032,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-916675953-chevrolet-sonic-16-lt-2012-_JM#position=15&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,4.299365779441681
Chevrolet Sonic 1.6 Lt Mx 5 P,2014,96500,U$S,6129,Mar del Plata - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-918771880-chevrolet-sonic-16-lt-mx-5-p-2014-_JM#position=16&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.405199269251676
Chevrolet Sonic 1.6 Ltz Mt Mx,2015,90000,U$S,6967,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-917380118-chevrolet-sonic-16-ltz-mt-mx-2015-_JM#position=17&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.21356234948886
Chevrolet Sonic 1.6 Lt,2013,83000,U$S,5387,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-914447525-chevrolet-_JM#position=18&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,4.502137005419114
Chevrolet Sonic 1.6 Ltz At Mx 4 P,2014,82000,U$S,6774,Hurlingham - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-921494906-chevrolet-sonic-16-ltz-at-2014-_JM#position=19&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.6257714215760406
Chevrolet Sonic 1.6 Ltz Mt Mx,2015,52000,U$S,7225,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-915797148-chevrolet-sonic-16-ltz-mt-mx-2015-_JM#position=20&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,5.3633217993079585
